FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-8a,5983028,POINT (16.355324575319177 48.181240508834314),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-89,5983029,POINT (16.370564231977383 48.182199069771485),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-88,5983030,POINT (16.35870724389209 48.20932048039814),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-87,5983031,POINT (16.468566051800252 48.15979312590236),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-86,5983032,POINT (16.402737051110204 48.24755392326646),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-85,5983033,POINT (16.399829603981544 48.24900037087519),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-84,5983034,POINT (16.33135538196906 48.182172436428154),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-83,5983035,POINT (16.391721325572703 48.22470682935396),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-82,5983036,POINT (16.39044828720256 48.225276939908305),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-81,5983037,POINT (16.359599197170514 48.210873078733684),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-80,5983038,POINT (16.43198065873915 48.247171239101235),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7f,5983039,POINT (16.391692308777223 48.225100056399036),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7e,5983040,POINT (16.35540834748576 48.20641610155802),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d,5983041,POINT (16.356332878690573 48.2056636830725),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c,5983042,POINT (16.30505669223563 48.18793852206565),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b,5983043,POINT (16.371410987525643 48.18689854715249),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a,5983044,POINT (16.355247657791985 48.18140363964074),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79,5983045,POINT (16.367876437542765 48.193028534913125),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-78,5983046,POINT (16.418020025557496 48.23181761800839),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-77,5983047,POINT (16.41891457790465 48.23172551314564),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-76,5983048,POINT (16.44161969921038 48.156097170605825),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-75,5983049,POINT (16.301592143415466 48.18791671394377),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-74,5983050,POINT (16.471783438060385 48.15999825419347),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-73,5983051,POINT (16.328634062338843 48.1730411823272),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-72,5983052,POINT (16.380477371456653 48.20483039017029),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-71,5983053,POINT (16.36754207562602 48.223660988471124),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-70,5983054,POINT (16.373020937661124 48.19957669050898),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-6f,5983055,POINT (16.35240896770129 48.1979682096248),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-6e,5983056,POINT (16.524486743501072 48.21312472546127),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-6d,5983057,POINT (16.353318406415056 48.216025015251745),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-6c,5983058,POINT (16.3396869770569 48.188876396119184),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-6b,5983059,POINT (16.4152757097105 48.18102778963645),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-6a,5983060,POINT (16.417668461393912 48.17740642759396),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-69,5983061,POINT (16.384555905557818 48.155864334702144),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-68,5983062,POINT (16.405785543904866 48.27434955824138),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-67,5983063,POINT (16.347056663654826 48.192445467083296),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-66,5983064,POINT (16.326745627620998 48.192745248828295),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-65,5983065,POINT (16.28989297911641 48.15429525364776),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-64,5983066,POINT (16.28302868102596 48.226026162197414),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-63,5983067,POINT (16.390826658971516 48.204526554194395),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-62,5983068,POINT (16.34117486212467 48.20745703280421),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-61,5983069,POINT (16.337402193787273 48.206378930917985),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-60,5983070,POINT (16.35429977611392 48.20375867352502),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-5f,5983071,POINT (16.32075106023309 48.17100163808249),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-5e,5983072,POINT (16.321549178181836 48.185836071930524),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-5d,5983073,POINT (16.443936034380375 48.23889016882992),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-5c,5983074,POINT (16.370954879396884 48.235307531093575),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-5b,5983075,POINT (16.367999983113645 48.23491421889424),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-5a,5983076,POINT (16.382501146301315 48.19967441989013),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-59,5983077,POINT (16.318519959404945 48.18952539840312),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-58,5983078,POINT (16.27577023465361 48.13497703516134),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-57,5983079,POINT (16.275760279070358 48.13495872399718),Wasserspielmöglichkeit,13,
